start,end,F0final_sma_de,voicingFinalUnclipped_sma_de,jitterLocal_sma_de,jitterDDP_sma_de,shimmerLocal_sma_de,logHNR_sma_de,audspec_lengthL1norm_sma_de,audspecRasta_lengthL1norm_sma_de,pcm_RMSenergy_sma_de,pcm_zcr_sma_de,audSpec_Rfilt_sma_de[0],audSpec_Rfilt_sma_de[1],audSpec_Rfilt_sma_de[2],audSpec_Rfilt_sma_de[3],audSpec_Rfilt_sma_de[4],audSpec_Rfilt_sma_de[5],audSpec_Rfilt_sma_de[6],audSpec_Rfilt_sma_de[7],audSpec_Rfilt_sma_de[8],audSpec_Rfilt_sma_de[9],audSpec_Rfilt_sma_de[10],audSpec_Rfilt_sma_de[11],audSpec_Rfilt_sma_de[12],audSpec_Rfilt_sma_de[13],audSpec_Rfilt_sma_de[14],audSpec_Rfilt_sma_de[15],audSpec_Rfilt_sma_de[16],audSpec_Rfilt_sma_de[17],audSpec_Rfilt_sma_de[18],audSpec_Rfilt_sma_de[19],audSpec_Rfilt_sma_de[20],audSpec_Rfilt_sma_de[21],audSpec_Rfilt_sma_de[22],audSpec_Rfilt_sma_de[23],audSpec_Rfilt_sma_de[24],audSpec_Rfilt_sma_de[25],pcm_fftMag_fband250-650_sma_de,pcm_fftMag_fband1000-4000_sma_de,pcm_fftMag_spectralRollOff25.0_sma_de,pcm_fftMag_spectralRollOff50.0_sma_de,pcm_fftMag_spectralRollOff75.0_sma_de,pcm_fftMag_spectralRollOff90.0_sma_de,pcm_fftMag_spectralFlux_sma_de,pcm_fftMag_spectralCentroid_sma_de,pcm_fftMag_spectralEntropy_sma_de,pcm_fftMag_spectralVariance_sma_de,pcm_fftMag_spectralSkewness_sma_de,pcm_fftMag_spectralKurtosis_sma_de,pcm_fftMag_spectralSlope_sma_de,pcm_fftMag_psySharpness_sma_de,pcm_fftMag_spectralHarmonicity_sma_de,mfcc_sma_de[1],mfcc_sma_de[2],mfcc_sma_de[3],mfcc_sma_de[4],mfcc_sma_de[5],mfcc_sma_de[6],mfcc_sma_de[7],mfcc_sma_de[8],mfcc_sma_de[9],mfcc_sma_de[10],mfcc_sma_de[11],mfcc_sma_de[12],mfcc_sma_de[13],mfcc_sma_de[14]
0 days 00:00:00,0 days 00:00:00.060000,0.0,-0.00036662418,0.0,0.0,0.0,0.0,-0.0015369684,0.0,-0.0006838882,-3.7252904e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0078581e-05,-5.27999e-06,-10.416666,-16.666666,-19.791666,-19.791668,0.007819997,-17.4699,-0.16234188,-8702.658,0.34253758,11.395755,-0.000118618074,-0.018266335,-0.00013858652,0.026023675,-0.034510802,0.13823986,-0.7468605,-1.0357947,0.5879153,1.586051,1.3497815,1.4687146,-0.14341068,2.0667953,2.1318421,0.6261194,0.8927957
0 days 00:00:00.010000,0 days 00:00:00.070000,0.0,-0.00020097733,0.0,0.0,0.0,0.0,-0.0022501678,0.0,-0.00080753054,0.00072916615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.876911e-05,-2.951466e-06,-6.249999,-12.5,-17.708332,-7.291667,0.008325949,-13.155481,-0.1382676,-6643.2,0.1605607,7.079219,-5.863999e-05,-0.013966156,-0.00013128613,0.20477906,-0.110071756,-0.4191785,-0.46376953,-0.4528261,0.7759563,0.47436586,1.7670727,0.8625523,-0.678099,2.3415036,3.7688224,1.3815622,0.3178738
0 days 00:00:00.020000,0 days 00:00:00.080000,0.0,0.0009901336,0.0,0.0,0.0,0.0,-0.002579023,-0.0026988029,-0.00078997604,0.0014583331,-0.00061588886,0.0016589642,-0.0020730973,-0.00150913,0.0017454386,-0.005119479,-0.005845642,-0.0071437717,-0.0022082925,0.0019587516,-0.003118062,0.0018520117,0.0029348135,-0.0019033909,-0.00835402,-0.012060595,-0.0033556223,-0.006664443,-0.0056994916,0.00045413972,5.1021575e-06,-0.0044419765,-0.0063992976,-0.0039629815,-0.0015993118,0.0012964129,-6.3915846e-05,-2.1612577e-07,3.1250012,1.0416664,-4.1666656,11.458334,0.0042692795,-0.39952698,-0.028946828,-2507.293,-0.10363102,-0.47787172,4.1667663e-05,-0.00028937162,-3.822761e-05,0.5061976,0.013563109,-0.55837923,0.37776718,0.6519796,0.645759,-0.9509719,2.0228348,-0.5557086,-1.0121828,1.6054227,3.6308155,1.6800468,-0.89409333
0 days 00:00:00.030000,0 days 00:00:00.090000,0.0,0.0010957519,0.0,0.0,0.0,0.0,-0.0037203492,-0.009172225,-0.0006467051,0.0014583336,-0.0015221477,0.0064225793,-0.00529294,-0.008142573,0.0025709271,-0.017661363,-0.014091397,-0.021269243,-0.010234195,0.0013724566,-0.011887801,0.0018810868,0.011688936,-0.0036166906,-0.025311958,-0.038939975,-0.016551126,-0.02443248,-0.019720793,-0.00026533604,0.0003601551,-0.013482427,-0.018455815,-0.010935659,-0.0044311523,0.003470856,-9.289132e-05,1.233026e-06,15.625,16.666668,11.458334,20.833336,-0.003263161,15.694821,0.083405755,4781.659,-0.30181378,-8.527884,0.00019799088,0.016738478,4.8756174e-05,0.31254882,0.3359503,-0.69881755,1.5632223,2.0263977,0.12814815,-1.7777188,2.450494,-0.9877939,-0.9985508,0.11355653,2.1373713,0.5802344,-2.2697024
0 days 00:00:00.040000,0 days 00:00:00.100000,0.0,0.0014169639,0.0,0.0,0.0,0.0,-0.0056442814,-0.018160189,-0.0007466248,0.00034722275,-0.0035842136,0.010065001,-0.010586679,-0.02048328,0.0013160467,-0.034491837,-0.02341994,-0.040606607,-0.026860964,-0.012292242,-0.02367065,-0.0015073419,0.018267225,-0.0031093596,-0.045220446,-0.07592907,-0.036972977,-0.042173825,-0.03749281,-0.0035332323,0.00488652,-0.019492637,-0.030046904,-0.015963972,-0.0058930875,0.0066324533,-0.00012346578,-4.9223804e-06,12.499999,18.750002,21.874998,14.583334,-0.0076624826,20.59337,0.10209648,14153.24,-0.2524518,-9.950734,0.000285453,0.020921227,1.69356e-05,-0.60324496,0.5083876,-0.20168051,1.2222545,1.3512764,-1.3437237,-1.7614462,2.4943652,0.061515667,-0.44411784,-0.96553737,0.53519523,-0.705603,-2.1268487
0 days 00:00:00.050000,0 days 00:00:00.110000,0.0,0.0010276226,0.0,0.0,0.0,0.0,-0.005142378,-0.02382034,-0.0009034509,-0.0011111103,-0.0059627322,0.007537109,-0.015147602,-0.031180982,-0.0038798333,-0.043289233,-0.024793679,-0.054131776,-0.045743525,-0.04287284,-0.033898722,-0.015108597,0.015082586,0.0011422992,-0.04790752,-0.0952703,-0.053681444,-0.045432914,-0.047928344,-0.007615781,0.016544914,-0.012715185,-0.028323203,-0.011909169,-0.00068179367,0.007840067,-8.934891e-05,-9.649753e-06,1.0416657,9.375002,27.083332,13.541669,-0.005626742,16.153017,0.099090435,20753.35,-0.2477909,-10.374937,0.00021161298,0.015065098,-6.139054e-05,-1.1404072,0.5556531,0.09184714,0.26827604,-0.4991723,-2.483914,-0.030287791,2.0914607,0.4888425,-0.57796156,-0.78243506,-0.43908086,-0.89206684,-0.9829504
0 days 00:00:00.060000,0 days 00:00:00.120000,0.0,0.0009621223,0.0,0.0,0.0,0.0,-0.0028903843,-0.020508265,-0.00066771766,-0.0023263888,-0.008028394,-0.0040231557,-0.016412918,-0.029161409,-0.009118128,-0.032146264,-0.012928444,-0.05000149,-0.047862243,-0.078019686,-0.036159724,-0.030197764,-0.0014063359,0.0046099187,-0.028979182,-0.07862659,-0.05109012,-0.02458806,-0.04093691,-0.013481903,0.030710006,0.007888079,-0.009003776,0.0018073678,0.015140849,0.0088018235,-4.277158e-05,-1.0093479e-05,-9.375001,-4.166667,22.916664,31.250004,1.9665249e-05,9.007617,0.07764218,23283.744,-0.2972774,-9.884216,0.00013468109,0.006548339,-0.00012918714,-1.2309084,0.40094835,-0.5918713,-1.1586524,-2.5874753,-2.4249482,0.06997333,0.511371,0.40867496,-0.5821417,-1.0226336,-0.03808055,0.14924507,0.32349014
0 days 00:00:00.070000,0 days 00:00:00.130000,0.0,0.0012432947,0.0,0.0,0.0,0.0,0.00038235262,-0.009638834,3.465335e-05,-0.0031597228,-0.0082923155,-0.018383166,-0.012286288,-0.007766515,-0.0072476147,-0.0015684426,0.012548638,-0.028545141,-0.03306047,-0.0872184,-0.030924404,-0.039899208,-0.029420698,-0.0020176768,-0.0032629252,-0.033632316,-0.024606157,0.005938375,-0.02346586,-0.018646587,0.040444292,0.025797714,0.014229757,0.0150563475,0.034619767,0.011000258,6.108597e-05,-9.2134915e-06,-12.5,-17.708334,3.125,39.583336,0.0024765502,-4.4180007,-0.0007935047,8809.117,-0.052371882,0.6268997,-2.1279533e-05,-0.006014635,-0.000103289574,-0.44062155,0.70921916,-0.8946457,-2.2022717,-3.8274875,-1.2481843,0.25237197,-1.0153202,-0.079669096,0.6655346,-0.70345116,-0.59347314,0.6140555,0.9562581
0 days 00:00:00.080000,0 days 00:00:00.140000,0.0,0.00095705234,0.0,0.0,0.0,0.0,0.0024679513,0.002515471,0.0008902978,-0.0034027784,-0.0040402277,-0.023720708,-0.000895372,0.019016108,9.0777874e-05,0.035965003,0.049969546,0.006650275,-0.014062929,-0.05849397,-0.025791872,-0.041618716,-0.05397866,-0.01632912,0.008127749,0.016569484,0.008591354,0.021132339,-0.008078659,-0.02834611,0.034159265,0.026995623,0.032207888,0.020435948,0.046377577,0.014470184,9.681906e-05,-6.3588245e-06,-10.416666,-23.958336,-27.083332,4.1666656,0.0064892583,-22.194881,-0.15426621,-17605.78,0.99449,43.872047,-0.0003117905,-0.021722768,-7.9732425e-05,0.52028006,1.4563391,-0.7460203,-1.5891236,-2.9802163,0.6918737,1.6937355,-0.4279173,1.1156027,1.4274708,-0.79681355,-0.7693123,-0.16623464,0.74986345
0 days 00:00:00.090000,0 days 00:00:00.150000,0.0,0.00076511415,0.0,0.0,0.0,0.0,0.0020144135,0.0084583815,0.0014038756,-0.0031250003,0.0033505275,-0.0156030785,0.013630676,0.03528203,0.009736121,0.056560468,0.071614735,0.03836175,-0.011464107,-0.0065603317,-0.022312362,-0.036208887,-0.07245375,-0.0319057,-0.0021451712,0.04514469,0.033066034,0.019055258,-0.0025068284,-0.040362787,0.01544224,0.012168646,0.03561467,0.016333735,0.038618088,0.017461848,9.386668e-05,-6.4011933e-06,-6.2499995,-15.625,-37.5,-41.66667,0.008215589,-28.728405,-0.22891858,-33532.957,1.9647853,79.923294,-0.000447251,-0.026426688,2.048116e-05,0.93476677,1.8260415,0.556353,-0.29461545,-1.1362101,1.9249837,1.9292748,-0.88123643,1.0925243,1.938834,-0.49109355,-0.7336868,-1.0753247,0.53968656
